"Ex1","Ex2","Ex3","Ex4"
2020,12127,1721,24577
1626,11682,2030,7275
1868,11933,1805,32753
1751,11619,1817,14044
1897,14967,1787,24871
1793,11362,1928,23921
1692,12882,2247,8197
2432,14756,1955,22699
1818,12740,1774,27259
2128,12214,1741,25082
1782,12630,1740,32241
2424,12701,1874,25143
1610,28899,1850,7439
1768,13630,2203,20009
2343,11820,1737,26717
1795,11847,2293,7617
1696,11868,1650,27073
1813,17860,1670,6881
1674,12674,1891,19784
1815,36641,1711,21098
1746,11487,1996,11225
1783,13376,1749,7950
1741,11907,1752,34247
1982,36874,1606,33473
1778,11981,1909,26307
1973,11445,1687,7770
1763,33249,1767,25488
2421,13308,1740,31337
1699,13983,1718,23864
2078,37443,1871,22357
1797,12293,1794,7735
2374,37361,1770,25246
2161,13766,1638,7453
1822,14679,1714,6569
2099,15042,1851,21822
1890,12310,1678,24510
1654,12374,1882,31469
1893,14314,1839,7902
1456,12145,1897,7681
1758,12992,1635,6993
2204,8713,1683,7389
1776,11856,1619,6762
1810,41748,2010,29555
1748,11709,2193,34110
1904,13096,1879,25016
1905,13368,2061,7862
1760,22972,1776,22821
1709,12872,1873,7300
1893,11876,1854,7562
1778,12370,1774,27658
1691,12462,1987,6935
2088,31240,1955,6338
1805,12764,1755,22244
1754,12231,1829,7129
1804,28864,1764,6338
1909,12463,1549,25615
1826,12038,1857,25911
1792,11851,1831,23514
1785,35880,1803,26646
1761,16691,1613,26872
2032,13815,1617,7979
1666,12357,1715,7475
2027,12274,1607,26808
1749,40897,1764,6551
2162,41033,2175,6794
1882,12251,2190,29728
2290,16825,1844,25112
1896,12368,1919,26650
2054,12387,1683,7073
1607,13506,1725,27320
1838,13051,1715,6758
1779,11779,1695,7415
1738,10772,1732,24622
1666,15504,1759,22145
1758,11968,2008,36246
1604,13955,1850,24051
1765,12113,1826,6634
1657,12324,2069,22925
1975,13720,1940,26438
1849,39879,2153,7479
1690,34273,1835,24788
2230,12449,1873,27745
1745,12221,1684,7185
1625,34310,2252,25246
2240,11521,2122,25680
1649,46551,2172,22675
1689,12539,2098,19879
1737,12046,1618,7181
2232,12342,1637,6858
2106,11886,1670,28781
1965,16020,1827,25613
1938,12080,1768,26025
1764,11905,1716,38193
1725,37734,1870,7092
1824,41399,2054,23984
2126,12896,1977,24346
1872,12573,1676,6359
1927,31054,1952,6487
1834,15172,1767,27680
1739,12241,1714,25824
1667,11979,1720,29682
2180,13414,1710,27331
1842,11863,2064,22380
1908,37932,1807,6265
1765,12809,2308,6947
1798,12376,1622,7081
1858,11267,1943,21281
1776,13231,1755,25474
1953,11143,1836,23804
1880,12564,1822,34503
1741,11315,1650,7158
2213,17100,1780,24012
1711,11211,1788,24503
1647,12154,1686,22190
1825,10431,1755,25826
1561,12169,2005,25485
1897,11451,1614,22203
1907,12879,1853,23986
1787,35489,1861,20259
1786,12090,1749,6980
1717,12069,1873,22492
1831,11806,2046,25201
1781,36959,1809,6538
1714,11814,1818,19492
1862,33409,1879,29686
2282,14474,1886,8736
2042,12926,2262,35062
2138,11164,1644,18492
1650,11224,2044,24002
1844,12982,1717,22654
2343,11238,1818,7579
1689,39374,1829,20426
1639,11681,1646,27257
2229,11919,1550,28737
2235,13211,1815,7222
2224,11399,2042,27411
1684,13311,1701,7332
2614,12391,1638,31775
1784,10951,1965,24366
1738,34823,1802,16906
1853,12778,1878,7803
1733,42672,2298,7015
2029,12279,1742,19135
1796,12480,1782,25866
1740,15047,1589,7053
1458,12343,1893,27600
2043,11740,1636,28292
1788,39359,1623,26217
1549,12343,1706,23785
1888,26636,1670,24786
1642,12099,1930,25486
1819,14599,1655,7404
1734,12422,1846,22815
2477,11425,1294,34011
1890,13243,1600,25342
2212,12501,2255,26596
1875,12740,1646,24437
1921,12641,2312,6827
1795,12827,1921,33401
1931,12178,2505,6267
2181,12357,1629,26473
1692,10854,1832,8057
2480,12315,1610,33320
2378,39881,1669,27903
1798,12041,1657,34307
2458,40644,1925,26103
1735,12116,1673,6265
1721,12715,1917,7151
1749,39994,1675,25845
1900,14263,1760,7160
1829,12048,2001,19540
1906,11120,1768,30575
1594,12023,1821,22892
1846,12935,1652,24752
1769,12273,1901,26235
1740,38273,1749,23722
1872,12706,1840,26996
1726,11723,2075,25607
1644,11347,1961,18674
1753,38276,1921,6391
2477,12024,1805,27356
1667,11832,1719,6289
2054,14748,1924,19391
1751,12405,1881,26565
1782,12000,2236,7475
1855,27506,1725,23616
1765,21837,1785,24794
2133,11348,1755,23868
1940,11489,2085,24043
1661,11325,1684,23784
1863,41133,1863,23345
1731,11953,1810,6814
1861,31672,2056,26656
2034,14718,2384,7270
29939,37603,1793,6564
1616,14510,2341,29852
1605,11758,1752,22860
2015,13711,1773,8539
1746,10561,1797,29439
1713,35085,2293,24822
1693,11669,2150,25655
1794,12955,1791,27423
1755,13023,1817,35851
1744,14960,1612,7428
1807,13465,1849,22884
1750,38136,1803,22044
1698,31430,2252,21986
1960,11767,1653,24357
1764,12158,1998,25084
1860,12460,1793,7744
1824,12967,1896,24099
2044,13205,1699,27737
1768,11226,1763,21751
1812,12183,1822,7587
1607,12356,1909,32709
1717,11258,1960,21544
1822,11620,2115,25611
1780,11387,1621,27730
1675,12244,2039,37327
1932,34921,1547,23344
1757,12228,1791,27154
2380,40771,1680,6765
2102,28235,1820,7026
1638,10581,1735,26279
2341,12664,1831,22329
1887,12302,1852,8154
1949,36471,1514,19670
1763,11810,1713,7012
1708,12694,1943,7002
1723,30322,1801,19324
2167,12737,1395,23004
1907,12264,2502,30675
1648,12235,1822,23090
1814,38508,1776,6042
1871,11829,2074,6924
2037,12129,2215,26130
1638,12731,1723,26725
1786,11856,1729,28645
1988,12068,1948,7536
1726,11402,1667,17238
2027,12244,1658,34255
2582,12059,1557,7442
1604,25276,2487,8088
1761,38426,1931,22228
1819,11917,1714,25652
1787,11061,1680,24596
2232,12148,1829,6980
28929,12622,1783,23768
1767,38269,1774,6685
2323,12896,2343,7002
1770,35717,1909,26659
1744,14648,1779,12164
1742,12433,1800,29804
1747,14503,1828,27674
1734,14429,1953,26202
1871,11588,1779,7793
1854,12263,1868,20691
1802,12772,1842,23006
1848,35894,1871,6410
1829,12289,1643,18686
1684,11289,1723,17828
1587,13267,2012,23936
1703,12419,1937,23483
2343,38044,1856,23533
1750,14292,1994,26829
1696,28810,1790,25751
1552,33999,1550,30560
1682,11617,1754,7535
1674,11540,1799,26877
2025,11922,1742,24558
1846,35913,1673,20569
1881,12781,1716,7986
24934,14207,2202,23769
1912,12081,1737,7614
2250,11702,1854,12682
1713,12174,1847,28912
2297,12129,1830,7402
1736,11911,1857,8416
1741,39424,1744,25504
2168,12329,1998,25642
1832,37072,2074,14920
1661,12423,1779,26814
1798,11455,2080,25114
1876,12364,1801,23461
1861,31903,1688,22087
1817,41957,1723,7330
1704,12224,1800,22956
2356,39080,1962,16654
1467,12337,1617,7524
1866,12442,2062,26905
1834,12656,1586,6977
2098,11422,1756,21969
1744,11793,1572,32864
1718,11523,1766,28079
1717,34354,1803,18959
1788,12458,1593,27138
2252,41429,2035,23820
1693,12131,1715,28520
1855,14231,1733,7766
1685,24186,1651,24239
1801,12509,1946,23156
1655,34660,1800,7043
1884,13654,2087,7227
1903,12351,1756,27898
1670,12997,2037,33939
1801,12010,29028,33623
1786,12008,1670,7101
2023,11126,1636,7307
1729,14107,1990,6819
1810,12149,1691,32160
1769,11539,2025,23382
1718,11048,1826,24862
1917,12661,1564,6325
1723,11711,2015,27411
1939,42798,2051,15098
1769,11097,1686,25880
27235,11951,1859,26471
1576,11924,1982,22786
1711,13807,1909,17935
1702,12038,1737,25285
2140,40403,1858,6686
1929,11779,1847,24074
1850,11766,1694,6575
1570,17244,2152,8193
1772,34884,2002,7347
2562,11310,1872,24638
2278,13491,1738,32417
1799,14247,2076,26291
1659,11741,1714,22257
1613,41639,1836,26502
1724,14816,1802,24185
1742,11808,2005,7563
1613,12385,1731,34612
1538,12196,1935,7386
1929,14519,2023,7291
1770,12095,1748,28069
1792,11718,1693,20965
1579,38074,1781,7198
1811,12165,1738,36844
1873,11532,1637,25166
1719,37675,1619,24665
2125,11241,1605,18868
1995,12033,1751,29072
1837,12305,1724,7082
1927,43755,2112,7068
1541,11602,1802,20328
1822,11045,1808,14430
1926,12332,1697,27642
1704,12869,1517,8188
1797,39695,1860,19400
1702,29606,1626,6386
1682,12069,1928,7353
1726,12294,1728,27058
1645,27133,1847,7859
1676,13668,1720,23412
1790,13944,2075,10389
1919,12072,1862,30628
1975,12253,1697,7586
1785,11705,2004,33083
1613,11441,1801,7012
2181,36563,1746,6318
1575,12125,2053,7017
2154,12637,2032,24670
1912,10671,1760,7529
2369,11431,1668,24694
1855,40542,1906,18688
2410,11703,1859,30157
2154,11823,1703,7221
1721,12140,1851,35496
1681,11904,2101,7056
2275,11204,1867,6515
2188,11474,1478,22216
1851,12631,1787,26708
1841,11574,1855,24895
1890,24177,1697,23580
1819,11796,2296,26059
1797,13473,1994,33913
1815,13901,1735,8352
1674,11275,1925,27711
1926,11888,1509,7000
1720,12678,1972,6860
1830,15688,1560,26291
2067,11665,1973,26511
1978,10797,1833,23404
2110,12438,1691,22579
2150,12674,1796,23845
1716,12040,1987,6850
2390,13354,1968,22407
1905,13389,1841,30231
2827,12349,1648,36855
1735,11519,2329,22373
1640,11837,1864,7306
1733,36466,1648,22140
1569,11868,1990,28330
1794,14372,2300,7595
1828,11197,1747,19617
2221,10937,1738,25241
1851,14221,1724,7544
1729,41683,1729,30518
1740,11932,1880,32970
1688,13060,1798,6694
1777,13784,2451,19785
1878,11941,1823,21575
1735,11472,1719,28670
1939,12609,1776,12121
1711,32386,1651,25157
1715,38870,1716,17328
1924,38849,1738,23686
1824,12612,1613,27115
1857,32133,1998,18730
2599,12188,1878,20440
1572,12498,1739,25431
1846,32811,2199,18390
1763,14000,1618,7378
1803,14018,2242,27435
2018,12432,2082,6921
1784,39310,1795,23871
1865,13140,1749,23160
1753,13240,1730,29040
1725,11479,1768,27907
1879,13382,2057,26164
1821,12017,1685,29834
1709,12800,2003,26644
2419,11687,1603,26196
2153,43141,1648,26511
1697,41677,2220,7119
1826,12316,1653,7368
2100,11632,2128,23610
1851,12261,1652,28176
1705,12600,2026,24548
2122,10699,1899,23155
1645,16083,1929,25695
1825,12791,1825,7556
1972,42008,1945,29526
1828,40742,1816,7376
1827,12413,1866,27293
1672,12389,1671,7449
2381,12191,1899,7147
1823,13138,1794,20070
1844,11632,1985,23573
1857,11379,1915,24233
2049,12305,1652,36709
1804,11280,1677,28913
1444,11758,1675,26924
1804,15252,1948,8274
1813,12390,1705,25369
1999,13470,1580,24152
2329,10862,1696,23711
1983,12141,1767,7805
2516,14038,2121,7972
1707,12432,2004,30810
2160,15329,1782,8197
1780,11997,1602,24774
1685,12459,1744,28204
1727,14497,1903,7635
1727,15790,1865,26079
1616,31229,1859,20042
2310,11030,1941,21834
1762,35627,1510,21553
2160,12675,1949,7705
1628,11120,1667,21638
1743,12330,1777,31748
1911,10741,1881,27898
1725,11880,1745,21455
1830,12084,2203,36718
1830,12148,1658,7248
2287,33217,1659,25510
2049,12398,1849,6941
1674,27966,1784,21791
2318,13086,1813,35481
2467,12815,1725,31387
1805,13946,1770,25487
1689,12539,2014,25418
1599,28404,2117,24331
1890,37310,1958,6594
1679,13024,1778,27077
1920,12821,1716,7170
2035,11447,1875,7533
2132,35238,1865,6989
2299,12116,2235,26717
1900,11403,2103,28736
1698,11537,1869,25077
1673,12700,1684,7284
2177,31578,1783,19014
1926,41446,1761,22503
1779,12478,1705,7397
1839,11593,2086,23254
1596,10686,1768,23992
2202,12455,1733,22366
1808,10691,1558,19789
1880,13452,1593,8234
1821,12365,1664,36434
1673,11811,2008,26940
1936,40084,2025,7089
1771,9192,1680,4257
1650,11671,1733,26245
2058,12493,2108,7618
2823,41015,1648,6048
1636,13021,1745,29869
1872,10840,1826,7034
1723,14883,1677,7585
1561,14690,2111,26138
1711,12681,1773,7388
1977,13689,2218,8233
1747,11922,1784,7242
1823,13001,2145,7350
1723,11942,1794,24516
1702,43362,2041,28611
1674,11195,1993,23053
1770,11757,1779,20310
1676,12182,1680,23524
1771,12482,1740,29262
1804,12438,1855,8776
1733,44398,1600,25893
1909,14531,1722,7340
1809,11265,1766,7159
2132,42271,1746,6928
1787,11483,1734,35115
2560,13682,1630,23320
2390,11325,1721,7359
1771,12410,1813,23307
1821,41950,1855,5959
2162,12653,1626,6724
2078,11571,1723,28113
1743,35739,1848,15819
1733,34989,2144,7163
1641,40553,1579,24679
1700,40527,1824,7177
27745,11768,1725,7049
1823,12267,1693,28202
2231,12339,2256,6976
1805,13240,1812,23396
1683,11242,1857,26995
1847,13119,1938,8252
1820,12290,1729,34226
1870,12319,2139,23686
1930,12289,1584,33989
1772,34018,1715,22315
1746,12029,1850,26889
1726,12627,1621,16638
1980,12018,1744,26010
1805,10349,1681,26484
1683,10784,2031,20987
2206,12333,1721,29342
1589,38467,1917,7262
1798,10449,2430,26747
2553,11626,1962,23036
1630,11364,2012,7145
1566,11329,1599,26185
1772,11883,1751,27202
1790,11888,2166,27548
1880,36553,1584,28509
1792,12928,1739,7113
1699,13086,2292,20319
1742,42238,1674,29510
1767,13107,1592,6065
1932,11244,1699,26812
2013,11598,1838,26065
1712,36588,1860,22015
2201,12625,1907,33849
1968,12196,1788,7073
1885,38216,1737,19633
2109,12602,1734,7240
1583,11864,2000,25581
1575,13469,1926,7119
1691,39208,1822,7397
2119,12101,1612,26096
1783,10830,1709,7059
1720,12504,1753,7182
1767,13983,1994,25113
1817,39040,1683,10815
2351,11371,1879,24738
1667,11644,1738,7348
1963,12009,1715,23316
1754,11132,1977,22013
1752,13303,1649,36945
2077,12334,1676,26011
1932,11855,1601,26896
2213,11983,1948,28894
2389,12828,1657,6549
2215,11883,1825,34584
1670,12108,1907,32891
1800,26665,1704,21820
2191,12060,1800,20046
1861,12609,1695,25342
2298,11476,1966,25354
1680,12068,1906,24364
1878,35309,2134,6708
2084,12147,1854,7439
1909,36127,1814,27170
2277,11523,1780,21648
2280,30553,1960,5989
1591,14916,2139,18579
1723,12429,1620,21661
1811,12058,1680,21465
2174,11431,2146,28145
1681,12436,1729,25901
2056,14779,1806,8242
1689,12084,1947,23981
2087,23812,1919,26002
1800,34844,2025,21501
1653,12663,1847,23218
1760,11658,1725,26919
1900,21302,1855,24315
1808,13220,1573,25329
1706,12078,1704,7099
2248,10959,1481,27136
1813,40780,1755,23811
1768,12897,1780,24405
1831,39326,1919,27119
1745,12462,1800,27038
1888,11950,2473,7423
2355,32939,1697,23451
1815,11813,1653,19929
2052,12465,2045,7106
1643,39722,1966,20934
2067,32819,2103,23775
2039,12173,1659,36091
2056,11390,1842,27953
1988,12297,2476,31691
1792,11824,1632,27982
2061,12637,1609,6965
1576,12001,1607,22319
2234,12220,1697,20660
1973,12203,1966,7807
1746,18288,2009,24047
1797,12029,1586,6944
1721,11791,1598,25117
2034,12665,1874,14124
1673,11732,1819,22144
1739,42702,1625,6214
28540,13196,2066,23697
1761,12977,1720,31817
1731,12491,1770,14771
1897,33011,1835,20957
1769,12633,1739,22885
1719,29161,1727,7855
2303,39138,1657,6730
1609,12647,1740,26412
1889,11391,1734,30066
1617,14542,2113,8103
1820,11932,2231,7304
2344,13366,1658,25252
1929,11476,1754,25972
2393,37623,1668,22212
1823,12073,1765,7446
1676,11270,1677,24087
1842,13674,1825,9528
1864,33008,1935,19350
1754,13042,1694,21105
2500,12342,1829,25801
1557,11861,1875,34402
1809,12384,1786,9142
2007,12743,1658,37763
1729,12396,1473,31398
2059,11685,1967,7727
1842,25204,1944,14074
1959,12308,1910,33698
1737,11933,1889,27137
1899,11047,1717,26467
1794,12037,1683,25992
1831,11478,2024,23803
1772,12947,1749,6901
1771,12864,1654,6378
1576,10976,2063,24507
1677,12082,1737,7272
1805,12579,1711,21378
1839,11538,2150,7383
1820,12870,1620,29508
1594,38942,1945,18402
1790,12525,1001,7483
1547,11315,2044,25779
1752,14365,1787,10625
1789,12810,1748,19485
2009,11494,2085,21710
1803,11377,1700,24490
1630,11824,1689,6359
1892,11921,1555,25949
1647,11882,29404,30415
1661,11848,2308,7707
1688,11712,1698,6527
2015,12548,1719,7252
1940,12447,1617,22072
1898,14417,1748,24714
2067,13581,1848,7593
1824,14815,1863,8076
1756,36682,1570,23317
1998,12413,1820,39482
1714,37225,2024,6120
1847,11809,1911,26027
1687,40144,2084,20369
1893,11786,1769,25714
1655,39548,1712,22184
1749,11886,1741,24345
1832,11651,1823,26272
1853,36444,1777,6393
1665,11402,1743,24201
1857,13021,1611,7062
1935,11838,1673,24154
1957,12018,1755,7221
2046,12692,2084,7375
1738,13459,1816,7284
1817,12719,1873,6864
1974,13897,1843,27721
1718,12510,1967,35060
2587,39745,1924,23218
1733,11475,1922,28441
2065,11507,1597,24691
1816,12189,1870,34472
1576,14860,1726,6223
2340,12566,1682,7304
1718,12960,2013,20551
1961,13225,1694,7347
1856,12393,1697,6150
2028,11533,1689,25857
1812,12310,1865,33260
2587,11683,1738,27612
1765,11830,1625,24836
1804,11165,1815,25911
1809,43613,1905,7867
1580,11243,1725,28280
1621,12020,1792,27948
1763,13071,1689,7131
2597,11865,1689,7438
2493,12162,2491,7180
1951,12472,1758,7241
2158,11740,1833,7388
1795,12735,1924,24302
1787,14182,1661,7687
1610,38191,2008,22910
1713,11541,1831,26866
1825,13676,1825,21765
1652,11653,2036,26075
1854,11106,1815,7520
1574,11557,1835,24841
1694,11721,1799,22576
1787,37428,1965,20464
1828,13891,1756,25198
1831,12747,1716,7746
2326,11478,2105,28158
1896,11155,1861,26051
2381,12358,1823,26835
2190,12076,1893,24727
1729,39338,1862,32968
1821,12330,1640,35216
1744,11791,1812,7682
2019,11196,1724,27510
1782,12540,2469,30069
2151,12633,1792,36798
2007,37078,1676,23881
1811,12425,1702,7638
1740,12868,1902,21145
1779,14516,1912,24394
1679,11662,1591,32262
1952,27601,1879,6805
1799,15009,1910,27902
2102,11977,1774,22216
1980,39964,2378,23553
1774,11637,1809,30606
1701,12421,1725,7117
1752,11909,2179,6540
1811,24789,1700,20706
1658,14486,1683,31184
1582,12078,1750,34953
1774,12113,2334,34408
1694,12174,1854,24002
1751,12350,1816,26083
1723,11533,1864,7307
1714,12181,1933,6948
1817,12640,1795,39917
1850,12285,1634,34145
1908,12375,1807,7615
1619,11950,1762,35699
1787,12024,1958,28306
1902,11892,1659,24563
1814,8610,1752,18700
1836,11421,1740,23098
1643,11758,1610,27002
2391,10969,1895,26451
1950,11738,1969,24530
1834,11937,1673,24712
1673,12119,1766,6539
1937,40189,1787,23775
2222,38710,1701,15907
1703,39006,1727,25100
1912,11923,1720,36914
1724,12344,1562,25805
1756,12228,1955,24300
1762,11715,1734,6839
1867,41159,1891,23910
1906,13730,1865,8759
1499,11998,1733,31847
1614,11413,2039,24766
1787,13942,1266,7262
2064,12807,1916,28001
1890,28986,1683,20189
2237,12965,1818,27643
1872,11890,1593,23443
1850,12486,1843,21498
1774,12662,1761,33389
2037,12039,1618,38144
1732,16724,1865,24720
1967,38396,1735,23294
1810,34229,1725,20832
1647,12575,1708,6848
1872,39823,1893,7537
2154,11244,1972,26755
1821,11672,1974,26217
1736,16147,1807,22679
1639,15114,1957,7254
1853,38446,1767,23433
2044,14297,1850,28946
1661,12199,2211,7195
1758,39259,1622,23513
1381,12859,1910,7243
1906,11289,2136,26640
1613,9952,1785,26444
1789,12634,1617,23936
1795,16434,1730,8264
2064,31107,2437,8201
1808,12022,1799,22258
1768,11623,1774,6406
1636,11655,1556,21839
2216,36548,2573,21647
1877,12237,2671,7045
1682,11850,1575,25601
2421,12560,1983,7098
1653,12343,1724,27015
1811,10328,1996,21951
1750,13547,1755,7308
2305,12227,1850,7271
1562,12228,1642,33985
1853,12799,2031,7716
1785,13316,1945,7967
1807,12433,1543,26063
1875,12651,2219,23441
1806,11533,1759,26193
1792,35728,2021,19826
1679,15498,1767,6756
1757,11032,1960,7188
2447,12111,1720,29582
1763,11548,2148,28017
1816,12776,1926,7434
1818,10786,1577,6479
1811,12946,2238,7046
2355,14069,2004,7676
1713,11776,2223,28646
1822,11306,1540,6588
1928,12046,1740,7165
2051,26108,1798,25556
2066,12468,1887,7481
1825,11667,2033,23891
1988,12488,1683,24460
1950,12295,1738,7229
2398,12943,1747,7430
1759,12578,1842,7265
1785,13260,2366,7170
1630,13025,1933,6853
2329,11626,1788,28422
1723,11138,1856,24442
1729,12223,2075,6698
2002,11703,1781,7503
1936,12567,2145,7538
2297,10889,1725,26628
1804,12623,1791,7041
1744,12809,1723,7115
1729,12368,1857,26655
1774,26585,1694,18491
2363,11368,1987,29855
1730,12115,1700,32562
1715,40731,1767,27347
1754,12084,2128,6979
1730,12914,1872,27001
2288,37558,1650,20588
1821,12102,1747,23473
1843,12802,1659,23247
1932,28769,1896,6788
1881,12650,1731,29188
1701,36313,1660,7006
1662,30028,1937,22762
2248,40453,1687,6041
1804,12153,1953,25715
1718,12110,1733,7570
1646,11430,1663,11759
1619,12833,1773,25562
1804,13329,1828,7249
2200,14049,2136,28349
1893,12345,2201,35066
1693,12116,1854,24944
1816,11702,1643,37189
1683,12452,1714,24987
2519,39213,2036,6567
1754,12177,1669,25783
1800,35631,1896,7480
1862,11915,1655,26196
1662,11647,1872,26928
1694,13081,1698,24235
2136,12085,2171,25535
1852,11278,1754,16797
2580,12460,1521,27563
1893,11925,2020,23042
2202,11694,1714,6302
1741,12182,1831,7518
1740,11751,1537,33240
1693,13074,1644,7312
1973,12626,1913,26662
2051,12175,1475,7969
1751,14919,2053,16596
1843,12656,1704,17331
1802,11590,1663,29383
1875,12123,1786,35498
2039,13342,1760,7853
24624,11436,1990,27999
1645,12170,1700,30262
1853,12323,1690,29149
1994,12973,1865,35350
1838,41951,1721,7252
2239,12157,1647,33665
1495,42627,1706,29852
1679,14946,1677,7724
1743,12738,1769,33872
1725,32813,1753,20606
1672,14577,1770,7702
2577,12350,1673,6985
1699,11913,1875,26169
2370,12846,2013,7271
2072,28656,1879,30002
1788,11496,1706,7081
1771,40231,1815,6300
1942,12600,1627,16455
1527,13656,2084,7985
1707,11588,2031,15284
2132,12224,1922,22270
1619,12623,1654,6607
1682,12239,1745,26293
1729,11094,1921,20502
1630,10721,1778,23784
1760,33455,1799,24367
1643,11565,1737,7265
1678,10294,1694,28539
1716,42718,1910,7214
1812,36872,1833,6501
1753,12436,1682,23519
1718,11647,1822,9087
2155,11677,1673,34093
1848,11319,1707,6314
2103,10631,1864,21826
1555,12897,1813,21161
1898,11958,1676,25857
2016,11766,1722,7462
1836,38693,2129,12425
1890,12144,1678,32231
1978,12715,1899,28653
1645,14673,1759,7547
2433,13923,1780,6969
1770,12305,1888,35858
1721,12201,2103,25848
1738,11542,1823,27133
1817,12320,1830,29922
1687,11680,1829,29378
1435,11793,1739,7272
2231,13308,1686,7068
1899,11030,1846,22835
1659,13122,1819,25370
1783,12245,1836,26258
2124,11173,1644,29236
1528,39227,1704,25090
1764,11343,1866,26538
1886,12400,1657,22951
1720,12509,1757,23140
1674,12165,1932,36208
2175,11653,1906,7472
1740,11949,1775,6713
2077,12646,1757,32171
1951,12411,1944,31341
2142,11683,1811,7731
1684,11771,1885,19544
1692,12282,1909,7613
1880,13000,1640,7374
1684,11390,2052,25886
1900,32489,1641,18153
1748,7390,2102,19413
1873,11559,1465,27852
1797,11080,1831,21467
1814,14141,1872,7867
1948,12291,1744,32572
1721,11516,2186,25456
1907,11892,1782,22987
1802,11211,1845,21942
2540,12285,1758,36536
2315,24755,1759,5921
1715,12532,1855,26981
1729,39355,1681,6964
1763,12210,2023,7350
1848,12566,1829,24357
1788,11142,2041,21392
1636,13727,1680,20056
2124,11252,1839,24811
2170,12478,1718,36360
1803,11222,1624,26254
1812,13131,1697,7139
1723,11373,1894,26293
1748,12669,1909,7334
1405,38339,1724,20036
1667,12290,1696,24080
1710,11880,1516,30228
2497,11712,2112,25250
2066,12631,1823,25562
2060,12380,1794,35792
1711,11764,1766,7742
1626,44111,1921,6641
1740,13116,1837,7982
1729,28497,1983,23278
2021,42184,1773,7036
1653,11571,1854,27699
1782,12004,1741,21695
1732,12302,1813,7025
1801,11706,1738,29053
1942,13589,1846,30709
1906,11426,1689,25329
2114,12107,1807,7349
1842,11608,1614,26297
1860,26321,1679,13030
1731,11550,1906,7305
1925,12507,1780,7504
1822,11499,1642,26818
1743,11796,1697,25864
2279,13210,1937,8056
2020,12554,2050,7493
1840,11458,1695,20535
2111,12013,1834,27008
1752,11247,1747,25512
1599,12654,1712,7319
2166,39749,2194,22548
1859,13075,1557,26088
1813,35890,1766,24784
1936,11731,2631,23606
2476,12325,2193,7505
1678,10883,2010,25586
1726,11632,1784,6906
1828,12274,2104,24433
2275,11945,1586,22801
2367,12587,1575,8137
2184,12299,1751,26825
1705,40813,1736,30736
2229,11887,1838,27433
1894,12610,1776,22152
1522,11159,1673,19149
1993,35849,1819,23416
2068,11062,1873,20957
1855,12686,1898,7155
1872,12240,1826,7022
1801,12522,2047,6540
1801,34120,1862,22669
2069,12002,1526,24999
1601,12093,2290,7037
2086,31522,1820,22364
2070,13548,1765,33537
1768,41504,1736,21233
1824,11596,1712,16367
1935,13674,1570,6101
2141,12353,1782,22401
1669,11510,2243,25139
1767,12876,1706,7070
1768,12102,1786,6908
1707,12178,2191,27632
1832,11027,1988,23043
1685,10270,1709,28770
1646,41746,1514,28746
1934,12280,1733,6283
2258,11912,2009,7495
1706,11578,1727,7587
1659,12769,1962,7098
1745,11674,1893,23029
1851,12710,1667,31726
2127,12542,1966,7583
1979,13525,1589,7112
1894,11851,1844,23486
2364,12117,1774,7269
1807,34098,1761,21351
1727,11989,1824,26632
1645,13907,1798,7703
1786,11853,2066,22096
1693,11796,1858,24506
1651,12721,1753,25166
2067,12128,1666,7418
2069,12150,1774,22681
2362,11217,1708,24382
1875,13829,1668,7047
1908,14519,1877,14051
1773,12522,2295,29576
1932,12483,1779,27177
2071,11189,2110,20580
1811,12184,1827,6957
2120,12308,1642,26116
1869,11400,1643,23150
1743,14609,1828,7212
1808,37279,1860,28389
2225,11468,1650,25328
1687,12838,1861,6388
1799,10583,1753,22392
1660,12699,1679,6858
1747,12534,1615,29837
2118,11957,2166,30071
2374,11296,1725,28467
1763,11254,1696,28810
1848,11652,1669,28801
1679,37614,1713,26721
1688,12703,1657,6751
1712,11635,1875,24150
2207,11935,1903,22128
1643,11938,1731,7071
1871,37239,1573,25948
2378,12873,1963,18931
1982,31205,1620,8921
2282,11632,1884,7649
1729,11814,1785,25093
1734,14301,1866,7004
1655,11601,1664,30620
1833,11969,1786,7495
1744,12531,1849,35167
2255,12122,1888,22546
1803,12410,1758,29736
1809,11915,1665,22331
1844,12790,1811,7405
2307,12407,1752,7446
1600,11935,1834,26676
1761,12122,1772,26741
2313,13129,2008,19106
1846,11373,1851,23966
1795,11880,1737,26010
1746,11537,1752,7273
1791,11910,1599,28068
2112,11127,1812,19215
1783,13914,1807,7760
2357,38970,2235,22876
2005,11653,1698,26865
1697,11570,1699,24650
1821,11886,2129,34409
1732,11752,2236,7793
1790,12917,1710,10060
1744,12004,1834,25873
1710,12308,1812,7509
1642,11797,1651,35407
1751,11992,1950,7304
2130,12940,1854,6479
2309,11692,1499,7632
2009,12671,1833,7435
2011,12508,1716,33540
1757,12002,2077,7859
1776,12431,1607,24207
1889,13300,2124,7380
1765,12297,1792,24946
2067,38261,1743,23423
1865,12044,2175,23036
1889,12836,1729,41258
1924,12285,1734,28599
1924,11767,1756,7467
1707,10311,1767,23031
2282,11411,1726,27031
1740,40198,2052,6727
1792,11453,2001,28682
2667,11164,1650,7365
1989,12434,1943,22030
